"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-09","3.80",,,,"0.00","0.0","0.0","64","77","48",,"  320","  330",,,"13.0","21.9",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-10","6.04",,,,"0.03","0.0","0.0","71","80","64",,"  240","  230",,,"17.0","21.9","    1",,,,,,"    1",,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-11","10.74",,,,"0.00","0.0","0.0","79","95","66",,"  290","  280",,,"23.0","31.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-12","9.62",,,,"0.00","0.0","0.0","81","84","61",,"  330","  360",,,"21.0","25.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-13","3.13",,,,"0.00","0.0","0.0","68","83","51",,"  320","   20",,,"12.1","21.9",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-14","7.16",,,,"0.00","0.0","0.0","73","84","61",,"  120","  110",,,"13.0","16.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-15","7.38",,,,"0.71","0.0","0.0","77","89","66",,"  360","  360",,,"44.1","53.9","    1",,"    1",,,,"    1",,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-16","11.18",,,,"0.19","0.0","0.0","73","85","65",,"  300","  310",,,"25.1","32.0","    1",,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-17","9.17",,,,"0.00","0.0","0.0","73","86","64",,"   40","   40",,,"21.9","25.1","    1",,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-18","4.03",,,,"0.00","0.0","0.0","75","87","61",,"  100","  120",,,"13.0","18.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-19","6.71",,,,"0.00","0.0","0.0","77","88","63",,"  200","  190",,,"18.1","25.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-20","9.62",,,,"0.00","0.0","0.0","80","92","67",,"  240","  230",,,"21.9","28.0",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-21","10.07",,,,"0.00","0.0","0.0","80","89","71",,"  270","  290",,,"25.1","31.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-22","5.82",,,,"0.02","0.0","0.0","71","78","60",,"  230","  220",,,"16.1","19.9","    1",,"    1",,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-23","8.95",,,,"2.75","0.0","0.0","72","87","64",,"   30","   20",,,"29.1","40.0","    1",,"    1",,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-24","6.49",,,,"0.00","0.0","0.0","74","84","65",,"   30","   20",,,"14.1","19.9",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-25","2.91",,,,"0.00","0.0","0.0","74","89","58",,"  230","  320",,,"8.9","12.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-26","7.38",,,,"1.15","0.0","0.0","79","90","66",,"  300","  290",,,"38.9","50.1","    1",,"    1",,,,"    1",,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-27","4.92",,,,"0.25","0.0","0.0","79","88","70",,"  320","  320",,,"17.0","27.1","    1",,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-28","10.29",,,,"0.00","0.0","0.0","76","80","62",,"  320","  330",,,"19.9","25.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-29","5.37",,,,"0.00","0.0","0.0","67","77","59",,"   10","  340",,,"15.0","21.9",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-06-30","2.91",,,,"0.00","0.0","0.0","69","80","55",,"  160","  140",,,"12.1","15.0",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-07-01","7.83",,,,"0.14","0.0","0.0","71","81","64",,"  300","  310",,,"19.9","23.9","    1",,"    1",,,,"    1",,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-07-02","4.92",,,,"0.00","0.0","0.0","67","74","56",,"   90","   20",,,"15.0","19.0",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-07-03","4.70",,,,"0.00","0.0","0.0","67","73","62",,"  220","  210",,,"14.1","18.1",,,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-07-04","4.92",,,,"0.11","0.0","0.0","65","72","62",,"   90","   80",,,"10.1","14.1","    1",,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-07-05","6.71",,,,"0.31","0.0","0.0","74","84","69",,"  290","  290",,,"14.1","18.1","    1",,,,,,,,
"USW00014821","JOHN GLENN INTERNATIONAL AIRPORT, OH US","2016-07-06","6.04",,,,"0.00","0.0","0.0","75","87","64",,"  240","  250",,,"21.9","27.1",,,,,,,,,
